ocd-division/country:us/state:nc/county:cumberland/precinct:g5b-2	ocd-division/country:us/state:nc/county:cumberland/precinct:g5
ocd-division/country:us/state:nc/county:cumberland/precinct:g5c	ocd-division/country:us/state:nc/county:cumberland/precinct:g5
ocd-division/country:us/state:nc/county:cumberland/precinct:g6a	ocd-division/country:us/state:nc/county:cumberland/precinct:g6
ocd-division/country:us/state:nc/county:cumberland/precinct:g6b	ocd-division/country:us/state:nc/county:cumberland/precinct:g6
ocd-division/country:us/state:nc/county:cumberland/precinct:g6c	ocd-division/country:us/state:nc/county:cumberland/precinct:g6
ocd-division/country:us/state:nc/county:cumberland/precinct:g7a	ocd-division/country:us/state:nc/county:cumberland/precinct:g7
ocd-division/country:us/state:nc/county:cumberland/precinct:g7b	ocd-division/country:us/state:nc/county:cumberland/precinct:g7
ocd-division/country:us/state:nc/county:cumberland/precinct:g8a	ocd-division/country:us/state:nc/county:cumberland/precinct:g8
ocd-division/country:us/state:nc/county:cumberland/precinct:g8b	ocd-division/country:us/state:nc/county:cumberland/precinct:g8
ocd-division/country:us/state:nc/county:cumberland/precinct:g8c	ocd-division/country:us/state:nc/county:cumberland/precinct:g8
ocd-division/country:us/state:nc/county:cumberland/precinct:g8d	ocd-division/country:us/state:nc/county:cumberland/precinct:g8
ocd-division/country:us/state:nc/county:cumberland/precinct:g9a	ocd-division/country:us/state:nc/county:cumberland/precinct:g9
ocd-division/country:us/state:nc/county:cumberland/precinct:g9b-1	ocd-division/country:us/state:nc/county:cumberland/precinct:g9
ocd-division/country:us/state:nc/county:cumberland/precinct:g9b-2	ocd-division/country:us/state:nc/county:cumberland/precinct:g9
ocd-division/country:us/state:nc/county:cumberland/precinct:one_stop_100_a_1-30	ocd-division/country:us/state:nc/county:cumberland/precinct:one_stop
ocd-division/country:us/state:nc/county:cumberland/precinct:one_stop_100_a_31-57	ocd-division/country:us/state:nc/county:cumberland/precinct:one_stop
ocd-division/country:us/state:nc/county:cumberland/precinct:one_stop_100_b_1-30	ocd-division/country:us/state:nc/county:cumberland/precinct:one_stop
ocd-division/country:us/state:nc/county:cumberland/precinct:one_stop_100_b_31-57	ocd-division/country:us/state:nc/county:cumberland/precinct:one_stop
ocd-division/country:us/state:nc/county:cumberland/precinct:one_stop_100_c_1-30	ocd-division/country:us/state:nc/county:cumberland/precinct:one_stop
ocd-division/country:us/state:nc/county:cumberland/precinct:one_stop_100_c_31-57	ocd-division/country:us/state:nc/county:cumberland/precinct:one_stop
